Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8018da6040 System                    4      0     89      560 ------      0 2022-08-28 06:42:08 UTC+0000                                 
0xfffffa80199a1950 smss.exe                244      4      2       29 ------      0 2022-08-28 06:42:08 UTC+0000                                 
0xfffffa801a6779e0 vmtoolsd.exe            876   1456      9      189      1      0 2022-08-28 06:42:47 UTC+0000                                 
0xfffffa801a484b30 dllhost.exe            1368    484     16      200      0      0 2022-08-28 06:42:48 UTC+0000                                 
0xfffffa80197736f0 msdtc.exe              1160    484     15      155      0      0 2022-08-28 06:42:52 UTC+0000                                 
0xfffffa801a76d060 SearchIndexer.         1088    484     14      639      0      0 2022-08-28 06:42:54 UTC+0000                                 
0xfffffa801a78a3f0 WmiPrvSE.exe           2052    588     11      204      0      0 2022-08-28 06:42:55 UTC+0000                                 
0xfffffa801a861b30 wmpnetwk.exe           2320    484     14      439      0      0 2022-08-28 06:42:59 UTC+0000                                 
0xfffffa801a8c85f0 svchost.exe            2428    484     23      314      0      0 2022-08-28 06:43:00 UTC+0000                                 
0xfffffa801a943950 svchost.exe            2600    484     10      352      0      0 2022-08-28 06:43:01 UTC+0000                                 
0xfffffa801a9bdb30 WmiPrvSE.exe           2792    588      9      216      0      0 2022-08-28 06:43:04 UTC+0000                                 
0xfffffa801aa68060 sppsvc.exe             2284    484      5      152      0      0 2022-08-28 06:44:44 UTC+0000                                 
0xfffffa801a8ed060 svchost.exe             932    484     14      322      0      0 2022-08-28 06:44:45 UTC+0000                                 
0xfffffa801aa49b30 chrome.exe             2892   1456     34      815      1      0 2022-08-28 06:47:04 UTC+0000                                 
0xfffffa801a562060 chrome.exe             1960   2892     10      220      1      0 2022-08-28 06:47:31 UTC+0000                                 
0xfffffa801a405060 thunderbird.ex         2776    772     65      859      1      0 2022-08-28 06:49:08 UTC+0000                                 
0xfffffa801a6d5060 thunderbird.ex         3312   2776     39      308      1      0 2022-08-28 06:49:13 UTC+0000                                 
0xfffffa801a9b7b30 thunderbird.ex         3568   2776      0 --------      1      0 2022-08-28 06:49:17 UTC+0000   2022-08-28 06:49:21 UTC+0000  
0xfffffa801a9f6b30 thunderbird.ex         3972   2776     10      181      1      0 2022-08-28 06:49:19 UTC+0000                                 
0xfffffa801aa2a060 thunderbird.ex         2136   2776     20      270      1      0 2022-08-28 06:49:22 UTC+0000                                 
0xfffffa801aa31b30 thunderbird.ex         3508   2776      0 --------      1      0 2022-08-28 06:49:26 UTC+0000   2022-08-28 06:49:36 UTC+0000  
0xfffffa801aa33b30 thunderbird.ex         3476   2776     21      278      1      0 2022-08-28 06:49:26 UTC+0000                                 
0xfffffa801a9f3630 mynotepad++.ex         3948   1456      3       70      1      1 2022-08-28 06:50:21 UTC+0000                                 
0xfffffa8018e7f6d0 iexplore.exe           2028   1456     12      409      1      1 2022-08-28 06:50:56 UTC+0000                                 
0xfffffa801abb8b30 iexplore.exe           3656   2028     16      373      1      1 2022-08-28 06:50:57 UTC+0000                                 
0xfffffa8019a075c0 chrome.exe             3808   2892      9      174      1      0 2022-08-28 06:51:16 UTC+0000                                 
